Hora,Compresor 2 - RCS: Presión de Descarga,Compresor 2 - RCS: Presión de Succion,Compresor 2 - RCS: Temperatura de Aceite,Compresor 2 - RCS: Temperatura de Descarga,Compresor C-2: Demanda (kW),Unnamed: 6,Unnamed: 7
2025-01-01 20:50:00 GMT-3,9.76,1.15,40.18,62.26,98.214,,
2025-01-01 20:55:00 GMT-3,9.8,1.136,40.2,62.28,98.1742,,
2025-01-01 21:00:00 GMT-3,9.78,1.114,40.28,62.26,98.0692,,
2025-01-01 21:05:00 GMT-3,9.72,1.14,40.24,62.34,98.8604,,
2025-01-01 21:10:00 GMT-3,9.8,1.176,40.22,62.48,99.8478,,
2025-01-01 21:15:00 GMT-3,9.8,1.196,40.2,62.56,100.5032,,
2025-01-01 21:20:00 GMT-3,9.8,1.204,40.2,62.6,100.7682,,
2025-01-01 21:25:00 GMT-3,9.9,1.222,40.28,62.68,101.3388,,
2025-01-01 21:30:00 GMT-3,9.8,1.21,40.32,62.7,101.195,,
2025-01-01 21:35:00 GMT-3,9.8,1.198,40.28,62.68,101.1972,,
2025-01-01 21:40:00 GMT-3,9.8,1.19,40.22,62.7,101.1976,,
2025-01-01 21:45:00 GMT-3,9.8,1.182,40.28,62.7,101.2928,,
2025-01-01 21:50:00 GMT-3,9.8,1.184,40.3,62.7,101.4104,,
2025-01-01 21:55:00 GMT-3,9.8,1.18,40.34,62.7,101.5404,,
2025-01-01 22:00:00 GMT-3,9.8,1.18,40.36,62.82,101.8952,,
2025-01-01 22:05:00 GMT-3,9.8,1.18,40.38,62.84,102.0462,,
2025-01-01 22:10:00 GMT-3,9.8,1.172,40.4,62.9,102.3552,,
2025-01-01 22:15:00 GMT-3,9.8,1.172,40.4,62.9,102.4808,,
2025-01-01 22:20:00 GMT-3,9.8,1.17,40.38,62.94,102.5746,,
2025-01-01 22:25:00 GMT-3,9.8,1.166,40.32,62.96,102.7772,,
2025-01-01 22:30:00 GMT-3,9.8,1.162,40.3,62.94,102.7908,,
2025-01-01 22:35:00 GMT-3,9.8,1.16,40.28,62.9,102.8196,,
2025-01-01 22:40:00 GMT-3,9.8,1.16,40.14,62.86,102.5384,,
2025-01-01 22:45:00 GMT-3,9.8,1.16,40.06,62.92,103.1446,,
2025-01-01 22:50:00 GMT-3,9.78,1.16,40.1,63.0,103.5224,,
2025-01-01 22:55:00 GMT-3,9.72,1.156,40.18,63.06,103.747,,
2025-01-01 23:00:00 GMT-3,9.7,1.142,40.2,63.1,103.8022,,
2025-01-01 23:05:00 GMT-3,9.7,1.136,40.22,63.1,103.7064,,
2025-01-01 23:10:00 GMT-3,9.7,1.136,40.2,63.1,103.9218,,
2025-01-01 23:15:00 GMT-3,9.7,1.138,40.18,63.16,104.196,,
2025-01-01 23:20:00 GMT-3,9.7,1.14,40.12,63.2,104.4942,,
2025-01-01 23:25:00 GMT-3,9.7,1.148,40.1,63.22,104.801,,
2025-01-01 23:30:00 GMT-3,9.7,1.15,40.1,63.22,105.1104,,
2025-01-01 23:35:00 GMT-3,9.7,1.154,40.14,63.32,105.5906,,
2025-01-01 23:40:00 GMT-3,9.7,1.15,40.12,63.3,105.7074,,
2025-01-01 23:45:00 GMT-3,9.7,1.144,40.08,63.36,105.949,,
2025-01-01 23:50:00 GMT-3,9.7,1.142,40.12,63.4,106.034,,
2025-01-01 23:55:00 GMT-3,9.7,1.14,40.12,63.44,106.2518,,
2025-01-02 00:00:00 GMT-3,9.7,1.14,40.14,63.44,106.4288,,
2025-01-02 00:05:00 GMT-3,9.7,1.14,40.1,63.52,106.7356,,
2025-01-02 00:10:00 GMT-3,9.7,1.14,40.2,63.58,107.1538,,
2025-01-02 00:15:00 GMT-3,9.7,1.132,40.12,63.62,107.3616,,
2025-01-02 00:20:00 GMT-3,9.7,1.116,40.2,63.7,107.432,,
2025-01-02 00:25:00 GMT-3,9.7,1.102,40.12,63.64,107.2042,,
2025-01-02 00:30:00 GMT-3,9.6,1.092,40.06,63.52,106.8978,,
2025-01-02 00:35:00 GMT-3,9.6,1.082,40.08,63.6,106.956,,
2025-01-02 00:40:00 GMT-3,9.64,1.096,40.08,63.66,107.6058,,
2025-01-02 00:45:00 GMT-3,9.7,1.112,40.18,63.76,108.3838,,
2025-01-02 00:50:00 GMT-3,9.7,1.122,40.12,63.9,109.1014,,
2025-01-02 00:55:00 GMT-3,9.7,1.122,40.18,63.96,109.6294,,
2025-01-02 01:00:00 GMT-3,9.7,1.11,40.22,64.0,109.6828,,
2025-01-02 01:05:00 GMT-3,9.7,1.108,40.22,64.0,109.8248,,
2025-01-02 01:10:00 GMT-3,9.7,1.108,40.2,64.06,110.0244,,
2025-01-02 01:15:00 GMT-3,9.7,1.114,40.14,64.04,110.4242,,
2025-01-02 01:20:00 GMT-3,9.7,1.098,40.18,64.1,110.2916,,
2025-01-02 01:25:00 GMT-3,9.68,1.078,40.14,64.1,110.0544,,
2025-01-02 01:30:00 GMT-3,9.6,1.056,40.12,64.08,109.5362,,
2025-01-02 01:35:00 GMT-3,9.6,1.072,40.1,64.08,110.0882,,
2025-01-02 01:40:00 GMT-3,9.62,1.086,40.0,64.1,110.8942,,
2025-01-02 01:45:00 GMT-3,9.7,1.096,39.98,64.14,111.5938,,
2025-01-02 01:50:00 GMT-3,9.7,1.096,39.98,64.26,112.1944,,
2025-01-02 01:55:00 GMT-3,9.7,1.082,40.0,64.3,112.0844,,
2025-01-02 02:00:00 GMT-3,9.7,1.08,40.02,64.3,112.1888,,
2025-01-02 02:05:00 GMT-3,9.7,1.082,40.02,64.36,112.621,,
2025-01-02 02:10:00 GMT-3,9.62,1.066,40.0,64.42,112.6878,,
2025-01-02 02:15:00 GMT-3,9.6,1.072,40.02,64.46,113.049,,
2025-01-02 02:20:00 GMT-3,9.6,1.072,40.02,64.5,113.3686,,
2025-01-02 02:25:00 GMT-3,9.6,1.042,40.08,64.5,112.8726,,
2025-01-02 02:30:00 GMT-3,9.56,1.0,40.04,64.4,111.8452,,
